sensorId,reading,threshold
hash_1,36.75865256300382,40.63555311244841
hash_2,38.166907911461834,39.99437007904069
hash_3,11.065432968213484,20.393344986467646
hash_4,21.399556648227367,28.15516435856531
hash_5,93.95886909475789,98.95955242314743
hash_6,58.006082920458034,58.93896590666614
hash_7,78.07390253932284,79.14691757537445
hash_8,22.229009838868073,28.41934687162847
hash_9,40.76917798097256,48.04131278558539
hash_10,98.30900526404508,103.79457455889431
hash_11,34.11915543864931,36.76906170324435
hash_12,8.574055940202264,14.115235611957033
hash_13,18.355731931658724,23.00478142015241
hash_14,46.94253652598663,49.233762823766625
hash_15,28.72823677238102,32.89301370399757
hash_16,90.27978951854327,94.56227152587118
hash_17,37.723303014840305,41.74244698961334
hash_18,58.58292409797795,67.37934178314605
hash_19,24.683844026837676,33.97464482808925
hash_20,21.62869453283761,22.018179176674728
hash_21,93.08894181864585,102.36966732973464
hash_22,4.504575196604721,6.297983866721834
hash_23,82.104155339024,84.64906202837781
hash_24,27.353150332495723,30.02699294257337
hash_25,3.484403625606214,11.872239370322488
hash_26,25.695230831794845,28.31010952410059
hash_27,97.50923901688792,97.99529931944336
hash_28,36.85718485959954,37.73572907623277
hash_29,42.352954893597385,43.251891686664784
hash_30,5.313174348489424,12.295737654731207
hash_31,70.1396704559741,75.76378907241896
hash_32,55.16307484574907,58.109367348728966
hash_33,39.90617818074554,45.97437650783845
hash_34,1.5021289072980615,1.6760186340865502
hash_35,92.79295018913851,97.12126740340477
hash_36,24.09841104773229,25.473821460598316
hash_37,68.00643872762362,72.02488893306155
hash_38,6.579425626742386,7.250093337395614
hash_39,89.44338721397574,91.96784019592533
hash_40,52.23929015209971,55.316623857064684
hash_41,42.340577934933755,47.375441232236774
hash_42,23.613096007794844,31.566995285715407
hash_43,46.91104655003082,52.38087367575994
hash_44,17.12522084544734,26.774973061229737
hash_45,1.6505185566890623,6.168937341719003
hash_46,76.40350538104555,79.01227425885942
hash_47,12.845396113183394,13.240405307709075
hash_48,68.26137960345716,75.74084375582405
hash_49,48.78636547354051,52.42459711264287
hash_50,93.88514895970759,103.28902459983007
hash_51,57.289274956075495,60.590758378642
hash_52,84.42385510450522,94.01285950884039
hash_53,63.34764588806884,71.56943422113221
hash_54,34.96423990478063,41.47301376611331
hash_55,20.088806786100033,23.793050895487827
hash_56,63.783499684551096,67.42460848059656
hash_57,20.678306334300157,21.6004680686253
hash_58,44.80772216145411,51.32159994041809
hash_59,91.41489645604047,95.02329326388033
hash_60,50.363987251041365,53.37906661729125
hash_61,76.98109618716215,81.1823630763193
hash_62,58.59930841580556,66.01610959479717
hash_63,97.66190279149832,107.17073535027892
hash_64,25.349750461779397,25.718861195193412
hash_65,5.316967730126299,9.485186654320975
hash_66,93.77819455732676,98.01738237267767
hash_67,89.98915599757964,98.69119188946449
hash_68,16.759383920507233,22.36202469189674
hash_69,92.25509191937257,100.06694788256277
hash_70,96.77606664255258,101.21416319794034
hash_71,57.770912263918476,61.47000080526177
hash_72,6.000149687306666,8.632937650614677
hash_73,29.939162371031824,38.60565206799162
hash_74,35.2680152374803,38.04402312206119
hash_75,14.220374322431905,15.249305631943665
hash_76,34.81921432387477,36.71815365280897
hash_77,63.33555020199686,71.78549558965669
hash_78,51.952999211086414,55.7665073704005
hash_79,26.4534219858906,29.67437196198302
hash_80,41.167239615678,49.176789195390924
hash_81,77.42900385754152,82.14195996355616
hash_82,20.879470132338152,23.568188447867783
hash_83,87.25765534466721,92.5135966975816
hash_84,77.4899539558658,81.93516734095712
hash_85,34.13145134083223,41.17042111971309
hash_86,72.33179412760052,79.67932209449582
hash_87,50.83239390468863,60.106921745275116
hash_88,89.96332131754136,99.69539845883953
hash_89,93.66959227204877,100.50302738441628
hash_90,77.29307564531364,85.1817732968223
hash_91,79.76523806924473,83.59731875415403
hash_92,62.18794001467709,64.18758849005374
hash_93,80.21684389772129,88.45847132431071
hash_94,7.500043081640884,8.68793525406829
hash_95,75.5108355026216,82.00004930993563
hash_96,51.85830531460765,53.19537243354561
hash_97,76.5353232625939,76.76940067512881
hash_98,12.105580597394905,13.570287121846079
hash_99,89.63745803315373,90.66436979313022
hash_100,73.92253457477544,75.7844368882476
